Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.2852753006666667,0.05271331188871747,0.6392503621860021,0.04783238283268436,3.0
celldancer,0.3387904432,0.13173245491383,0.538768307724945,0.0878140523737222,7.0
deepvelo,0.2617557709333333,0.05674850073852298,0.5866658620692533,0.08470289786867939,11.0
dynamo_m1,0.2530696738666667,0.06261093561769385,0.6753630398873467,0.19878581247106278,3.0
graphvelo_std,0.1743921202,0.04930224476473248,0.48750906363720814,0.06928417676705648,21.0
kvelo,0.33927057093333335,0.07608824000444583,0.593464117834056,0.08164338502146815,2.0
latentvelo_std,0.19995477566666667,0.0415990112210788,0.4495679018116416,0.02687964378782309,23.0
pyrovelocity_m1,0.2999823485333334,0.05960101462394881,0.5010716093297235,0.04186032161827993,13.0
pyrovelocity_m2,0.3559256356,0.07374089142171598,0.49974122334818033,0.049821525530038165,8.0
sctour_mse,0.09330336398666667,0.059215989644918664,0.5165575129310647,0.0928508193275905,22.0
sctour_nb,0.12641225204,0.03213306297099102,0.33578568583739565,0.02774435274898892,24.0
sctour_zinb,0.12013238023999999,0.011516374382353752,0.33374670424901337,0.018495462599657876,25.0
scvelo_dyn,0.30925897946666664,0.09658488779098807,0.5386389073448253,0.07269991065223874,9.0
scvelo_stc,0.21309985666666664,0.051952791431635746,0.7069899450173758,0.09846372259269912,6.0
sdevelo,0.3964051288,0.11278105445173604,0.6602591621621303,0.16685886259780427,1.0
svelvetvae,0.23169526826666664,0.04442114616164191,0.453065901085861,0.023669227350307655,20.0
tivelo_std,0.17408271106666667,0.05505991148892087,0.6544812288391404,0.027214557732166387,14.0
tivelo_simple,0.075549561,0.02282303252186005,0.6307856628636651,0.03880738114645311,19.0
unitvelo_ind,0.20170951466666667,0.07493820154301938,0.6119534681513852,0.03155903043334745,14.0
unitvelo_uni,0.25716300706666667,0.02052375985353743,0.599823148443844,0.03626604738898184,9.0
veloae,0.06764238278666666,0.03636442189779508,0.8388872786220952,0.05404376592924696,14.0
velocyto,0.23197479613333333,0.04371882039201027,0.6944682638975797,0.08491361903626618,5.0
velovae_std,0.3460977481333334,0.06201108081440904,0.48653743783968484,0.037890146016283204,12.0
velovae_fullvb,0.2992307325333333,0.058887111859732236,0.48435641267001517,0.06328844876181247,18.0
velovi,0.23675067693333335,0.03726208909465473,0.5590195881356771,0.08394511027487012,14.0
