Method,0,1,2
velocyto,0.6191030044597234,0.4705706363557255,0.5722973655405345
scvelo_dyn,0.586208269284997,0.3401101921825361,0.5984559547906179
scvelo_stc,0.5757629455330135,0.3998527115129378,0.5785759661348676
veloae,0.6508608177905024,0.5094065418947695,0.6638437070873822
dynamo_m1,0.3609436309614992,0.36270175541817784,0.4042454462973377
unitvelo_ind,0.6342865645420102,0.5644930423067375,0.6536292814194413
unitvelo_uni,0.45022647075035316,-0.365438359,0.5679173833373299
velovae_std,0.1751385622621241,0.3362656943367414,0.2006539903188364
velovae_fullvb,0.613386519369453,0.4269734735727738,0.572365108643334
deepvelo,0.09612369629662786,0.04916314038837648,0.5213725298607429
celldancer,0.571070156577415,0.4546298974345594,0.4368521649100601
pyrovelocity_m1,0.6375493413731463,0.45165382257743636,0.6092562544000544
pyrovelocity_m2,0.5865060615407888,0.4687675093935268,0.6149750298447691
kvelo,0.3319300236293874,0.43012250925013784,0.4738817400051488
velovi,0.5986890259196297,0.4859214923166492,0.6100050032096095
sdevelo,-0.070852226,-0.395451283,-0.11978573
cell2fate,-0.615793385,-0.406538867,-0.577351097
svelvetvae,0.6534520480215611,0.504875505243904,-0.223141428
latentvelo_std,-0.219423306,0.20365465166053784,-0.065858006
tivelo_std,0.5611541754149834,0.45799654518423116,0.5825493759085517
tivelo_simple,0.5179500311876819,0.4317247284510886,0.5341774848365489
sctour_mse,0.3154164454801597,-0.512991216,-0.024488218
sctour_nb,-0.602623425,0.41992701210173566,-0.605862369
sctour_zinb,-0.595028617,0.419188592896112,-0.608650826
graphvelo_std,0.5402196286381221,0.41761132910073817,0.5753749722525852
